cwe	comparison	old_results_sha256	new_results_sha256
CWE-022	SAME	27750d88a68370cbd58a3fa43942d1d2e6461b7745f73a48ce3ff70d5e21fb46	27750d88a68370cbd58a3fa43942d1d2e6461b7745f73a48ce3ff70d5e21fb46
CWE-078	SAME	ba82b9eaae3ac4543d656719760c839e13de29573db62fb2fe4264f87bada6b1	ba82b9eaae3ac4543d656719760c839e13de29573db62fb2fe4264f87bada6b1
CWE-079	SAME	a147721649c9d07bb2f72849b22a72985ce3694b0401822a8fa9f057de989309	a147721649c9d07bb2f72849b22a72985ce3694b0401822a8fa9f057de989309
CWE-089	SAME	071a359886607b596001ade86326bf3386fab0e0349050dd8d4a900d2102e884	071a359886607b596001ade86326bf3386fab0e0349050dd8d4a900d2102e884
CWE-090	SAME	7fa349edf2f1e21497473d595d589ed28008e5f06ef11e39a04de3a4c2fd2c8d	7fa349edf2f1e21497473d595d589ed28008e5f06ef11e39a04de3a4c2fd2c8d
CWE-327	SAME	7f35d727e1c3b6d7a4ac2307c55c2c60ae056d03db772f20a0b1dcdeef284a76	7f35d727e1c3b6d7a4ac2307c55c2c60ae056d03db772f20a0b1dcdeef284a76
CWE-328	SAME	7f35d727e1c3b6d7a4ac2307c55c2c60ae056d03db772f20a0b1dcdeef284a76	7f35d727e1c3b6d7a4ac2307c55c2c60ae056d03db772f20a0b1dcdeef284a76
CWE-330	SAME	5c8c304962b10228ce885d7755a7ad8157aeeb64eaa1476a2d7d40af2ba4f9f7	5c8c304962b10228ce885d7755a7ad8157aeeb64eaa1476a2d7d40af2ba4f9f7
CWE-501	SAME	cc3f981154d266d81965f42f1448a3b5fedff2cd3989ba150bb3853b3b778715	cc3f981154d266d81965f42f1448a3b5fedff2cd3989ba150bb3853b3b778715
CWE-614	SAME	37bffd32a9806319658affe8cea409f8f5361ca20a22b1ab340c4edaea56f56e	37bffd32a9806319658affe8cea409f8f5361ca20a22b1ab340c4edaea56f56e
CWE-643	SAME	83fc8ecf3caa7da2232e0ead5e0ca4d0c14fe3ff15f6e5cf3905c41b18e71e4a	83fc8ecf3caa7da2232e0ead5e0ca4d0c14fe3ff15f6e5cf3905c41b18e71e4a
